,week_of_year,O3,month,tavg,pres
2017,28,0.5160548673807714,7,0.7837078651685393,0.4727592267135314
2018,28,0.5701219307153761,7,0.7134831460674157,0.4411247803163434
2019,28,0.5864789587610739,7,0.6853932584269663,0.5289982425307542
2020,28,0.6288208432252119,7,0.7162921348314606,0.4903339191564129
2021,28,0.5775986057374978,7,0.7808988764044944,0.3339191564147619
2022,28,0.5684799829368095,7,0.7219101123595506,0.4463971880492074
2023,29,0.5381082724768623,7,0.6741573033707865,0.5606326889279423
2024,29,0.4352420215653363,7,0.6882022471910112,0.5817223198594021
2025,29,0.4839326426712348,7,0.6825842696629213,0.4956063268892769
2026,29,0.4536810278650739,7,0.6685393258426966,0.5114235500878728
2027,29,0.4428243807627899,7,0.6264044943820224,0.4674868189806673
2028,29,0.4734122633995525,7,0.6123595505617977,0.4727592267135314
2029,29,0.4847089409773096,7,0.6910112359550562,0.3550087873462182
2030,30,0.4827316861333715,7,0.6685393258426966,0.3145869947275912
2031,30,0.4907387035626136,7,0.6320224719101123,0.3971880492091379
2032,30,0.4884002009920862,7,0.6179775280898876,0.460456942003514
2033,30,0.4316122505252984,7,0.6544943820224719,0.3409490333919152
2034,30,0.3208907830909163,7,0.7443820224719101,0.3602811950790858
2035,30,0.470025565962778,7,0.7134831460674157,0.3743409490333889
2036,30,0.5476073583087457,7,0.6741573033707865,0.4270650263620368
2037,31,0.4860213462818866,7,0.6657303370786517,0.3497363796133541
2038,31,0.554048328412614,8,0.6657303370786517,0.246045694200351
2039,31,0.5133003534655282,8,0.6713483146067416,0.1282952548330378
2040,31,0.5730080694671692,8,0.6657303370786517,0.2056239015817205
2041,31,0.4540605301310387,8,0.6432584269662921,0.4885764499121237
2042,31,0.4208382292328194,8,0.6095505617977528,0.460456942003514
2043,31,0.5687480364360605,8,0.598314606741573,0.3813708260105422
2044,32,0.6202978948673038,8,0.6067415730337078,0.5184534270650261
2045,32,0.5435077730710957,8,0.6320224719101123,0.4868189806678344
2046,32,0.4647778662749307,8,0.6376404494382023,0.5342706502636183
2047,32,0.5896052888204397,8,0.6825842696629213,0.6239015817223184
2048,32,0.4829440152492658,8,0.7668539325842696,0.5887521968365554
2049,32,0.4990243429086399,8,0.7359550561797753,0.5289982425307542
2050,32,0.4953743957987658,8,0.6938202247191012,0.5342706502636183
2051,33,0.560706431458528,8,0.7275280898876405,0.4973637961335662
2052,33,0.4955780780275874,8,0.7134831460674157,0.5219683655536009
2053,33,0.5263811720759349,8,0.7022471910112359,0.6168717047451651
2054,33,0.5172394909097198,8,0.6882022471910112,0.6063268892794369
2055,33,0.5467830217411563,8,0.7696629213483146,0.5377855887521967
2056,33,0.5134166060583933,8,0.8061797752808989,0.5131810193321584
2057,33,0.4067034511647837,8,0.7415730337078652,0.6414762741651998
2058,34,0.3954740271531469,8,0.7387640449438202,0.6590509666080848
2059,34,0.3266678644206538,8,0.699438202247191,0.6151142355008794
2060,34,0.3945661040105223,8,0.7134831460674157,0.6028119507908585
2061,34,0.4762878337338123,8,0.7415730337078652,0.4991212653778554
2062,34,0.42616279013909,8,0.7275280898876405,0.3954305799648487
2063,34,0.4879361513858558,8,0.6320224719101123,0.4217926186291727
2064,34,0.5241012761844553,8,0.6067415730337078,0.4094903339191553
2065,35,0.4446873045443234,8,0.6292134831460674,0.4674868189806673
2066,35,0.4055630228364288,8,0.5814606741573033,0.460456942003514
2067,35,0.465790512827657,8,0.5758426966292135,0.3655536028119499
2068,35,0.4895656092164287,8,0.6123595505617977,0.4217926186291727
2069,35,0.3032251928015625,9,0.6292134831460674,0.4745166959578206
2070,35,0.3279168592200315,9,0.651685393258427,0.6080843585237261
2071,35,0.5295171097876036,9,0.6404494382022471,0.7363796133567639
2072,36,0.5498574704780863,9,0.6797752808988764,0.701230228471001
2073,36,0.6647361690639361,9,0.7612359550561798,0.5922671353251303
2074,36,0.6831559600590678,9,0.8005617977528089,0.5940246045694195
2075,36,0.7448044218258959,9,0.7415730337078652,0.5834797891036878
2076,36,0.7204096318635866,9,0.7921348314606742,0.5465729349736357
2077,36,0.7996439404056542,9,0.7640449438202247,0.5465729349736357
2078,36,0.84211072434973,9,0.8342696629213483,0.5483304042179249
2079,37,0.540837806496118,9,0.8089887640449438,0.4850615114235488
2080,37,0.3323719275928892,9,0.7359550561797753,0.4815465729349739
2081,37,0.4624777943136149,9,0.6601123595505617,0.5588752196836531
2082,37,0.4604986179392162,9,0.5758426966292135,0.6449912126537747
2083,37,0.5200333961994048,9,0.601123595505618,0.5694200351493848
2084,37,0.5617632732118477,9,0.6882022471910112,0.5043936731107195
2085,37,0.4954618254347222,9,0.651685393258427,0.4745166959578206
2086,38,0.4743451664381646,9,0.7134831460674157,0.3145869947275912
2087,38,0.5025474690081155,9,0.6235955056179775,0.3848857644991206
2088,38,0.5321351950401455,9,0.7022471910112359,0.3427065026362044
2089,38,0.4848472911704714,9,0.6264044943820224,0.2056239015817205
2090,38,0.4850163858510026,9,0.5786516853932584,0.2583479789103684
2091,38,0.4346617193662409,9,0.5674157303370786,0.4780316344463955
2092,38,0.5405418908051884,9,0.5702247191011236,0.6608084358523705
2093,39,0.4341774936901744,9,0.6292134831460674,0.6309314586994716
2094,39,0.2644784918291721,9,0.6292134831460674,0.6098418277680118
2095,39,0.3601985709577964,9,0.6685393258426966,0.5659050966608064
2096,39,0.4804623586594251,9,0.6573033707865168,0.5237258347978901
2097,39,0.4352631584004027,9,0.6376404494382023,0.54481546572935
2098,39,0.3127684738340394,9,0.5926966292134831,0.6977152899824226
2099,39,0.4762993629165758,10,0.6741573033707865,0.643233743409489
2100,40,0.3075447932769492,10,0.696629213483146,0.5711775043936704
2101,40,0.5835092334342457,10,0.6376404494382023,0.4991212653778554
2102,40,0.4744892812227083,10,0.5898876404494382,0.6871704745166944
2103,40,0.4586645171145915,10,0.6179775280898876,0.6678383128295238
2104,40,0.4998899923811317,10,0.6348314606741573,0.6502636203866423
2105,40,0.6177710823116396,10,0.6910112359550562,0.6168717047451651
2106,40,0.2629845018960702,10,0.6123595505617977,0.6748681898066771
2107,41,0.3749059651030853,10,0.6797752808988764,0.6028119507908585
2108,41,0.3681210410467729,10,0.6713483146067416,0.5641476274165207
2109,41,0.507822070122411,10,0.6741573033707865,0.4710017574692422
2110,41,0.4081609320191346,10,0.6179775280898876,0.4674868189806673
2111,41,0.4548502791503376,10,0.6882022471910112,0.3286467486818942
2112,41,0.5690843042666623,10,0.5,0.4376098418277649
2113,41,0.4937199580722054,10,0.398876404494382,0.6186291739894543
2114,42,0.3158429225709693,10,0.4325842696629213,0.6520210896309315
2115,42,0.3677722832681774,10,0.4241573033707865,0.5922671353251303
2116,42,0.2778004625123819,10,0.4438202247191011,0.3585237258347966
2117,42,0.3315168465379305,10,0.601123595505618,0.0913884007029857
2118,42,0.2091864528259468,10,0.5140449438202247,0.3340363210310464
2119,42,0.4888325453457169,10,0.5533707865168539,0.0667838312829509
2120,42,0.380154625556163,10,0.5084269662921348,0.3163444639718804
2121,43,0.218050472840608,10,0.4747191011235955,0.4481546572934967
2122,43,0.4230960275240023,10,0.5056179775280899,0.2759226713532499
2123,43,0.2094698785688825,10,0.4438202247191011,0.196836555360278
2124,43,0.153109468629574,10,0.4466292134831461,0.1757469244288216
2125,43,0.3265343180536434,10,0.4775280898876404,0.1124780316344455
2126,43,0.4822561073443776,10,0.5112359550561797,0.1546572934973618
2127,43,0.6231638575492607,10,0.547752808988764,0.103690685413003
2128,44,0.3953942836390328,10,0.497191011235955,0.2091388400702989
2129,44,0.4340016736530312,10,0.4915730337078652,0.2653778558875217
2130,44,0.4511426861266461,11,0.5308988764044944,0.2144112478031594
2131,44,0.6120948813310826,11,0.4915730337078652,0.1988283538371398
2132,44,0.5481597983161628,11,0.4522471910112359,0.2066783831282954
2133,44,0.4804066342760682,11,0.4466292134831461,0.2217340363210311
2134,44,0.5327721823878282,11,0.4775280898876404,0.2368482718219056
2135,45,0.5084244699218032,11,0.4634831460674157,0.2196836555360271
2136,45,0.5091488869054424,11,0.4550561797752809,0.3813708260105422
2137,45,0.5036821327450888,11,0.4466292134831461,0.3971880492091379
2138,45,0.5323994054784754,11,0.4522471910112359,0.2355008787346193
2139,45,0.5123597643050737,11,0.3932584269662921,0.170474516695954
2140,45,0.4889132496250614,11,0.396067415730337,0.3110720562390128
2141,45,0.1525848908138354,11,0.3398876404494382,0.3655536028119499
2142,46,0.458388777493498,11,0.4606741573033708,0.2671353251318074
2143,46,0.6092644669626464,11,0.5252808988764045,0.2776801405975391
2144,46,0.5623877706115367,11,0.4943820224719101,0.4622144112477997
2145,46,0.2424712034641351,11,0.3876404494382022,0.4903339191564129
2146,46,0.12188844170605,11,0.3258426966292135,0.5940246045694195
2147,46,0.2866836978316489,11,0.4044943820224719,0.5430579964850608
2148,46,0.6255100462416305,11,0.5337078651685393,0.3725834797890996
2149,47,0.4270130673678972,11,0.4691011235955056,0.3919156414762739
2150,47,0.2251707039622918,11,0.3876404494382022,0.5623901581722315
2151,47,0.0999032509413097,11,0.3061797752808988,0.7486818980667849
2152,47,0.4505383647967934,11,0.5,0.5905096660808447
2153,47,0.6638042267905541,11,0.3651685393258427,0.460456942003514
2154,47,0.6035978736343922,11,0.3314606741573033,0.4815465729349739
2155,47,0.5433915204782305,11,0.3230337078651685,0.5043936731107195
2156,48,0.4831851673220687,11,0.3061797752808988,0.2319859402460444
2157,48,0.4229788141659069,11,0.247191011235955,0.3409490333919152
2158,48,0.4325163306070019,11,0.2556179775280899,0.286467486818978
